Species,Process,Cardinal,Temperature
Fusarium culmorum,growth in culture,min,5.0
Fusarium culmorum,growth in culture,min,4.0
Fusarium culmorum,growth in culture,min,3.0
Fusarium culmorum,growth in culture,min,9.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,min,7.0
Fusarium culmorum,growth in culture,opt,26.0
Fusarium culmorum,growth in culture,opt,26.0
Fusarium culmorum,growth in culture,opt,25.5
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium culmorum,growth in culture,opt,27.0
Fusarium diversisporum,growth in culture,max,35.75
Fusarium diversisporum,growth in culture,min,5.0
Fusarium ensiforme,growth in culture,max,35.75
Fusarium ensiforme,growth in culture,min,5.0
Fusarium equiseti,growth in culture,max,37.5
Fusarium equiseti,growth in culture,max,37.5
Fusarium equiseti,growth in culture,max,34.0
Fusarium equiseti,growth in culture,min,5.0
Fusarium equiseti,growth in culture,min,5.0
Fusarium equiseti,growth in culture,min,5.0
Fusarium filiferum,growth in culture,max,34.0
Fusarium filiferum,growth in culture,max,34.0
Fusarium filiferum,growth in culture,min,5.0
Fusarium filiferum,growth in culture,min,5.0
Fusarium flocciferum,growth in culture,max,35.75
Fusarium flocciferum,growth in culture,min,5.0
Fusarium fujikuroi,growth in culture,max,40.0
Fusarium fujikuroi,growth in culture,max,37.5
Fusarium fujikuroi,growth in culture,max,37.5
Fusarium fujikuroi,growth in culture,min,5.0
Fusarium fujikuroi,growth in culture,min,5.0
Fusarium fujikuroi,growth in culture,min,5.0
Fusarium fujikuroi,growth in culture,opt,30.0
Fusarium fujikuroi,growth in culture,opt,25.0
Fusarium fujikuroi,disease development,min,20.0
Fusarium fujikuroi,disease development,min,9.0
Fusarium fujikuroi,disease development,opt,29.5
Fusarium fujikuroi,disease development,opt,30.0
Fusarium fujikuroi,disease development,opt,30.0
Fusarium fujikuroi,disease development,opt,35.0
Fusarium fujikuroi,disease development,opt,35.0
Fusarium fujikuroi,disease development,opt,30.0
Fusarium fujikuroi,fructification,max,30.0
Fusarium fujikuroi,fructification,min,10.0
Fusarium fujikuroi,fructification,opt,27.5
Fusarium fujikuroi,fructification,opt,27.5
